id,created_on,modified_on,round_num,is_active,start_date,end_date,grant_filters,subscription_filters,verified_threshold,unverified_threshold,total_pot,logo,contribution_multiplier,collection_filters,customer_name,sub_round_slug,display_text
7,2020-10-13T14:51:07.712-06:00,2020-10-13T14:51:07.713-06:00,1,false,2019-01-31T17:00:00.000-07:00,2019-02-14T17:00:00.000-07:00,{},{},25,5,25000,,1,{},ethereum,all,
8,2020-10-13T14:51:07.778-06:00,2020-10-13T14:51:07.778-06:00,2,false,2019-03-25T18:00:00.000-06:00,2019-04-18T18:00:00.000-06:00,{},{},25,5,50000,,1,{},ethereum,all,
9,2020-10-13T14:51:07.784-06:00,2020-10-13T14:51:07.784-06:00,3,false,2019-09-14T18:00:00.000-06:00,2019-10-03T18:00:00.000-06:00,{},{},25,5,100000,,1,{},ethereum,all,
10,2020-10-13T14:51:07.789-06:00,2020-10-13T14:51:07.789-06:00,4,false,2020-01-05T17:00:00.000-07:00,2020-01-20T17:00:00.000-07:00,{},{},25,5,200000,,1,{},ethereum,all,
11,2020-10-13T14:51:07.794-06:00,2020-10-13T14:51:07.794-06:00,5,false,2020-03-22T18:00:00.000-06:00,2020-04-04T18:00:00.000-06:00,{},{},25,5,250000,,1,{},ethereum,all,
12,2020-10-15T12:14:47.029-06:00,2020-10-15T12:14:47.030-06:00,6,false,2020-06-15T18:00:00.000-06:00,2020-07-02T18:00:00.000-06:00,{},{},25,5,175000,,1,{},ethereum,all,
16,2020-11-22T12:55:27.000-07:00,2020-12-23T13:10:40.443-07:00,8,false,2020-12-01T11:06:38.000-07:00,2020-12-17T17:00:00.000-07:00,"{""grant_type"": ""6""}",{},25,5,100000,grants/bd8474c60216d418b3507b64d86eb9ba/infra_bg.png,1,{},ethereum,infra,INFRA
109,2021-01-29T09:48:42.000-07:00,2021-02-08T12:10:09.624-07:00,9,false,2021-01-29T09:49:15.000-07:00,2021-03-25T10:49:27.000-06:00,"{""grant_type"": ""11""}",{},25,5,30000,,1,{},filecoin,gr9-early-bird,Filecoin
18,2020-11-22T12:58:35.000-07:00,2020-12-23T13:10:45.060-07:00,8,false,2020-12-01T11:06:21.000-07:00,2020-12-17T17:00:00.000-07:00,"{""region"": ""east_asia"", ""grant_type__in"": [""1"", ""2"", ""6"", ""8"", ""10""]}",{},25,5,50000,grants/afebbb236959e3d2befae8c363dc082f/EastAsia.png,1,{},ethereum,east-asia,East Asia
17,2020-11-22T12:57:03.000-07:00,2020-12-23T13:10:49.671-07:00,8,false,2020-12-01T11:06:30.000-07:00,2020-12-17T17:00:00.000-07:00,"{""grant_type"": ""2""}",{},25,5,100000,grants/00107959c19c961bd5131dc817c1fc82/Community_bg.png,1,{},ethereum,community,COMMUNITY
15,2020-11-22T12:54:01.000-07:00,2020-12-23T13:11:01.565-07:00,8,false,2020-12-01T11:07:11.000-07:00,2020-12-17T17:00:00.000-07:00,"{""grant_type"": ""1""}",{},25,5,100000,grants/cfca854c555a5cf12b590f5324cb9965/Dapp.png,1,{},ethereum,dapp,DAPP
20,2020-12-01T09:59:38.000-07:00,2021-01-14T10:34:01.747-07:00,2,false,2020-12-01T11:06:06.000-07:00,2021-01-14T17:00:00.000-07:00,"{""grant_type"": ""8""}",{},25,5,100000,grants/fbb554180aa5cd7250a96457491b14a9/LiftOff.png,1,{},filecoin,liftoff,Liftoff
14,2020-11-10T10:42:02.000-07:00,2021-01-06T08:01:59.624-07:00,2,false,2020-11-10T10:42:30.000-07:00,2020-12-07T01:03:02.000-07:00,"{""grant_type"": ""3""}",{},25,5,15000,,2.5,{},matic,build-earn,Build And Earn
13,2020-10-26T10:43:17.000-06:00,2020-12-01T08:51:49.059-07:00,1,false,2020-10-26T10:43:37.000-06:00,2020-11-18T16:59:00.000-07:00,"{""grant_type"": ""9""}",{},25,400,25000,,5000,{},zcash,zcash,ZCash
6,2020-09-28T11:28:38.000-06:00,2020-12-01T08:53:43.464-07:00,1,false,2020-09-27T18:00:00.000-06:00,2020-11-20T17:00:00.000-07:00,"{""grant_type"": ""8""}",{},25,5,50000,,1,{},filecoin,liftoff,Liftoff
2,2020-09-14T10:43:24.000-06:00,2020-12-01T08:55:00.467-07:00,7,false,2020-09-13T18:00:00.000-06:00,2020-10-02T12:00:00.000-06:00,"{""grant_type"": ""1""}",{},25,5,150000,,1.1,{},ethereum,dapp,Dapp Tech
3,2020-09-14T10:46:42.000-06:00,2020-12-01T09:21:10.502-07:00,7,false,2020-09-13T18:00:00.000-06:00,2020-10-02T12:00:00.000-06:00,"{""grant_type"": ""6""}",{},25,5,150000,,1.1,{},ethereum,infra,INFRA TECH
4,2020-09-14T16:41:05.000-06:00,2020-12-01T09:23:17.025-07:00,7,false,2020-09-13T18:00:00.000-06:00,2020-10-02T12:00:00.000-06:00,"{""grant_type"": ""2""}",{},25,5,150000,,1.1,{},ethereum,community,COMMUNITY
21,2020-12-01T10:02:39.000-07:00,2021-02-17T07:51:12.832-07:00,1,false,2020-12-01T11:05:48.000-07:00,2021-01-14T17:00:00.000-07:00,"{""grant_type"": ""10""}",{},25,5,50000,grants/4481f9228612e716d6affb908e922dd6/apollo_bg.png,1,{},filecoin,apollo,APOLLO
110,2021-02-10T10:13:59.000-07:00,2021-02-17T11:06:10.608-07:00,1,true,2021-02-16T07:00:00.000-07:00,2021-03-01T01:00:00.000-07:00,"{""grant_type"": ""12""}",{},25,5,20000,grants/654ef2236b988df92a81b09e3835edc0/Gitcoin-minibanner-clean.png,1,{},cartesi,cartesixgitcoin,Cartesi CLR
1,2020-08-26T09:26:19.000-06:00,2020-12-01T09:40:18.155-07:00,1,false,2020-09-14T18:00:00.000-06:00,2020-10-02T12:00:00.000-06:00,"{""grant_type"": ""3""}",{},25,5,15000,,2.2,{},matic,build-earn,Build And Earn
22,2020-12-04T01:42:36.919-07:00,2020-12-04T01:42:36.972-07:00,0,false,2020-12-04T01:42:36.919-07:00,2020-12-04T01:42:36.919-07:00,"{""categories__in"": [""3""], ""grant_type__in"": [""6""]}",{},25,5,0.5,,1,{},,pledge,
