id,grantcategory_id,grant_id
4417,3,1577
4418,17,1578
4420,7,1580
4421,16,1581
92,3,460
4422,2,1582
4424,3,1584
4426,5,1586
13,2,442
14,4,444
4427,2,1586
4428,16,1586
4429,2,1587
18,5,446
19,2,447
4430,5,1587
21,4,448
4431,16,1587
4432,21,1588
24,5,449
25,2,449
1545,2,843
1547,5,524
1548,2,524
110,3,468
4438,2,1464
1549,8,844
1550,4,844
114,3,469
4446,10,1596
1583,5,850
1585,5,852
4458,9,1603
124,10,472
58,4,458
4459,16,1298
60,3,406
61,5,451
4460,22,1298
4461,5,1604
4462,2,1605
4463,16,1606
125,3,473
126,7,473
1660,5,403
4464,5,1606
4465,2,1606
4466,2,1607
4467,2,1608
4470,5,1610
133,10,475
134,11,475
1676,3,883
1677,7,883
137,6,476
138,2,476
1687,7,758
1688,3,758
1689,14,758
4471,2,1611
4472,22,1611
1702,2,885
1703,3,885
142,3,479
143,7,479
144,3,481
145,7,481
1704,1,885
4473,5,1612
4474,2,1612
4475,16,1612
1727,5,896
4476,4,1613
1729,3,896
4477,5,1613
4483,3,1616
1751,11,903
156,2,486
1757,11,906
1759,3,908
1770,3,909
1771,2,909
4484,9,1617
1784,9,912
4488,2,1311
4492,4,1622
4493,16,1622
1799,2,917
4494,14,1623
4495,3,1623
4499,4,1626
4500,15,1627
171,6,491
4515,3,1634
4519,3,1638
4520,2,1639
4521,5,1640
4523,3,1642
4532,9,1648
4533,2,1648
4534,16,1648
4535,5,1649
181,8,496
4537,2,1651
4540,3,1654
4547,15,1657
4548,3,1657
1841,5,922
1846,4,925
1847,3,926
190,11,505
195,3,508
199,5,509
200,3,509
203,3,507
207,2,513
1870,2,931
1878,3,932
1884,3,933
219,11,518
224,2,521
225,2,510
228,5,450
229,3,450
230,9,450
231,1,450
1924,5,941
242,2,530
243,5,530
245,11,532
246,6,533
247,8,533
248,2,533
1947,5,947
253,2,536
1954,14,949
258,14,538
1955,7,949
1956,3,949
1957,12,949
1975,3,954
2003,5,959
2021,2,962
2026,5,837
2033,4,968
2034,6,968
2042,2,620
2069,6,973
312,7,542
313,14,542
314,3,542
315,12,542
2072,16,974
2073,3,951
322,2,544
323,9,544
324,3,544
2085,5,579
327,11,545
2095,9,650
330,3,497
331,2,497
2100,5,246
2101,6,778
337,5,548
338,2,548
2102,5,778
2103,3,778
2104,2,778
2105,5,980
344,5,552
345,2,552
2108,5,853
4445,3,1595
4449,14,1598
349,2,554
4450,3,1598
4468,3,1609
353,2,556
4469,12,1609
4478,7,1614
356,5,555
357,2,555
4479,3,1614
359,11,559
4485,4,1618
361,11,561
4486,5,1618
363,6,563
364,2,563
365,1,563
4489,3,1620
4496,3,1624
4497,14,1624
4501,3,1628
370,5,253
4516,3,1635
4522,3,1641
4524,14,1643
4525,3,1643
4526,7,1643
4536,3,1650
1546,5,842
4538,3,1652
379,3,571
380,11,572
381,2,573
4541,3,1655
4542,7,1655
4543,12,1655
4549,16,1657
4550,5,1657
4742,2,1763
4792,12,1796
4793,3,1796
4794,14,1796
4829,12,1817
4830,3,1817
4831,7,1817
4832,12,1818
4833,3,1818
1626,5,514
4834,7,1818
4835,14,1818
4836,7,1819
1647,5,866
4837,3,1819
4838,14,1819
403,4,575
404,8,576
4839,3,1820
406,11,577
407,10,577
4841,5,1822
4842,7,1823
4843,3,1823
4845,3,1825
4846,9,1826
4847,4,1826
4848,16,1826
4849,5,1827
1705,5,865
1706,2,865
4850,3,1828
419,5,581
420,3,581
421,2,581
422,10,582
423,10,583
424,5,584
4851,12,1829
4852,3,1829
4853,14,1829
4854,12,1830
4855,9,1831
4856,2,1832
431,3,587
4857,2,1833
4858,5,1834
4859,2,1835
4860,3,1836
4861,7,1836
4862,12,1836
4863,14,1836
4864,2,1837
4866,5,1839
1752,11,904
1758,5,907
4867,5,1840
448,11,591
1794,3,535
1800,9,918
1801,5,918
1808,2,898
1810,7,919
456,3,594
457,2,594
1894,3,525
1925,5,942
493,1,605
494,5,605
509,3,602
2022,2,963
2027,3,827
2028,12,827
2029,7,827
2058,3,971
2059,12,971
2060,7,971
2061,14,971
535,10,612
536,10,613
540,11,616
541,10,616
2089,6,106
2090,5,106
545,5,610
546,11,617
2091,16,106
2092,4,106
2107,2,981
2109,16,853
2243,6,1030
2244,2,1030
2245,3,1030
2246,15,1030
557,5,546
559,11,621
2247,4,1030
2248,1,1030
562,5,604
2291,5,1045
564,5,624
2316,2,1054
2317,3,1054
2320,9,1057
2342,5,1064
577,5,629
578,2,627
579,10,630
580,10,631
2343,2,1064
584,3,632
585,7,632
587,2,633
588,6,633
589,9,633
2365,3,1065
2366,9,1065
2371,8,1068
2372,16,1068
2376,5,1024
2377,2,1024
599,5,609
600,4,635
603,2,637
622,11,641
623,10,641
624,11,642
625,10,642
626,10,643
627,11,643
630,3,562
2516,8,1126
2517,5,1126
634,5,464
635,2,464
2518,2,1126
4480,4,1615
1502,5,186
640,5,628
641,2,628
642,1,628
1503,3,186
1504,2,186
1512,10,834
4481,5,1615
1525,5,838
4482,16,1615
1542,2,225
4487,2,1619
4490,15,1621
4491,16,1621
4498,3,1625
4502,15,1629
4503,5,1629
4504,16,1629
4517,3,1636
1587,6,461
4527,3,1644
4539,3,1653
4544,14,1656
1615,5,858
1616,3,858
1621,5,860
1627,2,862
4545,3,1656
4546,7,1656
4551,2,1658
4552,12,1659
4553,14,1660
672,11,652
1665,2,878
4554,7,1660
4557,15,1663
4558,5,1663
4559,2,1663
4560,16,1664
4561,9,1664
4562,3,1664
1721,5,893
1722,3,893
1723,2,893
4563,2,1665
4566,5,1667
4567,2,1667
4568,3,1668
4569,4,1669
4570,9,1669
1763,5,216
1764,3,216
1765,2,216
4571,5,1669
4575,3,1671
4576,15,1672
4577,5,1673
4578,3,1673
4579,16,1674
4580,4,1674
4581,3,1674
4582,2,1674
4583,7,1675
4584,3,1675
704,10,656
705,11,656
1840,2,923
4588,7,1677
4589,3,1677
4593,4,1681
4598,16,1683
4599,4,1683
712,5,658
4600,2,1683
4601,3,1684
4602,13,1684
1880,3,848
717,5,519
1881,7,848
1882,13,848
1883,12,848
4603,12,1684
722,3,661
723,7,661
1895,5,833
1906,3,939
726,11,662
1917,3,940
1918,2,940
4604,7,1684
4605,9,1685
4608,3,1688
732,3,651
733,2,651
4610,2,1690
2030,5,815
750,3,592
751,4,592
752,1,592
753,2,592
754,5,666
755,3,666
2031,9,815
2041,5,714
759,3,667
2051,16,183
2052,15,183
2082,2,718
2114,3,985
779,3,474
780,2,474
786,2,670
787,5,670
794,6,669
795,5,669
796,3,669
797,11,547
800,5,590
802,3,672
804,5,673
2137,3,969
2138,7,969
2139,16,993
813,2,674
2153,3,1000
2154,16,1001
818,3,606
2155,3,1001
2156,2,1001
825,2,678
826,9,678
830,5,679
2170,16,1004
836,3,681
838,2,681
841,5,680
2177,5,1006
2178,15,1006
2183,5,1009
853,2,226
2187,2,377
855,7,686
856,3,686
2192,2,1012
866,5,687
871,3,688
872,2,688
2234,16,1026
2235,15,1026
885,11,691
2236,4,1027
887,1,690
2252,16,413
895,2,689
897,2,638
2262,5,1035
2263,8,1035
2265,2,965
2270,3,1039
2271,5,1039
2276,6,1041
2278,16,1042
918,5,557
2279,4,1042
2280,2,1042
2281,6,1042
2282,2,1043
2283,9,1043
2286,3,991
2287,2,991
4505,5,1630
4518,3,1637
4528,3,1645
4555,16,1661
4564,2,1666
4565,15,1666
4572,3,1670
936,11,700
937,11,701
4573,16,1670
4574,15,1670
4585,7,1676
4586,12,1676
4587,14,1676
1560,5,846
4590,15,1678
4594,4,1682
4595,5,1682
4596,3,1682
1581,2,851
4597,15,1682
950,5,703
4606,3,1686
952,11,704
953,10,558
4609,3,1689
4611,15,1690
1610,2,857
4840,3,1821
1622,5,861
1628,2,863
4844,2,1824
4865,7,1838
4868,5,1841
5014,5,1913
5016,11,1915
5047,3,1929
5072,17,1937
5082,2,1940
5083,4,1940
5084,9,1940
5085,22,1940
1682,4,222
1683,2,222
1684,8,222
5086,5,1940
5087,21,1940
5094,2,1942
5095,4,1942
5096,9,1942
5097,22,1942
1741,2,659
5098,5,1942
982,4,705
5099,21,1942
5109,2,1944
1754,5,772
1755,3,772
5110,4,1944
5111,9,1944
5112,22,1944
5113,5,1944
5114,21,1944
5131,9,1951
5132,5,1951
5133,2,1951
5134,4,1951
5135,21,1951
997,4,698
1852,5,927
1862,3,929
5136,22,1951
5175,3,1977
5176,12,1978
5178,7,1980
5172,14,1974
5173,12,1975
5174,2,1976
1919,13,911
1920,7,911
5179,3,1980
5180,11,1981
5181,5,1982
1945,14,805
1964,3,565
5182,9,1983
1965,7,565
1966,12,565
1017,5,623
1967,14,565
1973,2,952
5183,22,1983
1021,3,456
1022,14,456
5184,21,1983
5185,5,1983
5186,2,1983
5187,4,1983
2038,5,849
5188,3,1984
5190,8,1986
5191,5,1987
2111,2,983
2140,6,994
1033,3,709
