time_sequence,contributor,grant,amount,flag
0,e391d23767,GoodGhosting - a DeFi savings game,10.637857778025,0
1,6160a73e3a,Zapper.fi,950.0,0
2,6160a73e3a,Rotki - The portfolio tracker and accounting tool that protects your privacy,950.0,0
3,6160a73e3a,Vyper Smart Contract Language,950.0,0
4,6160a73e3a,Gelato - An automation protocol for Ethereum,950.0,0
5,6160a73e3a,Dune Analytics,950.0,0
6,6160a73e3a,White Hat Hacking,950.0,0
7,3422bd76b2,Snapshot,1900.0,0
8,6160a73e3a,EthHub - Ethereum Information Hub,475.0,0
9,6160a73e3a,Bankless,475.0,0
10,6160a73e3a,The Defiant,475.0,0
11,6160a73e3a,defiprime.com,475.0,0
12,6160a73e3a,Tenderly,475.0,0
13,6160a73e3a,DeFi Saver,475.0,0
14,6160a73e3a,DeFi Dad DeFi Tutorials on YouTube and Twitter,475.0,0
15,6160a73e3a,Dune Analytics,475.0,0
16,6160a73e3a,Snapshot,950.0,0
17,6160a73e3a,rDAI,950.0,0
18,6160a73e3a,ParaSwap.io - The fastest liquidity aggregator,950.0,0
19,284f124caa,DAppNode - Panvala League,4.75,0
20,284f124caa,Tornado.cash,4.75,0
21,284f124caa,Zapper.fi,4.75,0
22,284f124caa,Rotki - The portfolio tracker and accounting tool that protects your privacy,4.75,0
23,284f124caa,WalletConnect,4.75,0
24,284f124caa,MetaCartel,4.75,0
25,284f124caa,Prysm by Prysmatic Labs,4.75,0
26,284f124caa,"ethers.js - Complete, Simple and Tiny",4.75,0
27,284f124caa,Lighthouse: Ethereum 2.0 Client,4.75,0
28,284f124caa,1inch.exchange on-chain DeFi aggregation protocol,4.75,0
29,284f124caa,DAppNode - Panvala League,4.75,0
30,284f124caa,Tornado.cash,4.75,0
31,284f124caa,Rotki - The portfolio tracker and accounting tool that protects your privacy,4.75,0
32,284f124caa,Zapper.fi,4.75,0
33,284f124caa,"ethers.js - Complete, Simple and Tiny",4.75,0
34,284f124caa,Prysm by Prysmatic Labs,4.75,0
35,284f124caa,1inch.exchange on-chain DeFi aggregation protocol,4.75,0
36,284f124caa,WalletConnect,4.75,0
37,284f124caa,Lighthouse: Ethereum 2.0 Client,4.75,0
38,284f124caa,MetaCartel,4.75,0
39,284f124caa,EthHub - Ethereum Information Hub,4.75,0
40,284f124caa,Black Girls CODE,4.75,0
41,284f124caa,The Commons Stack: Iteration 0,4.75,0
42,284f124caa,The Defiant,4.75,0
43,284f124caa,EIP-1559 Community Fund,4.75,0
44,284f124caa,The Popup Season Two,4.75,0
45,284f124caa,"Dai Card: Transact instantly, cheaply, and securely in Dai",4.75,0
46,284f124caa,EthHub - Ethereum Information Hub,4.75,0
47,284f124caa,Black Girls CODE,4.75,0
48,284f124caa,The Commons Stack: Iteration 0,4.75,0
49,284f124caa,The Defiant,4.75,0
50,284f124caa,EIP-1559 Community Fund,4.75,0
51,284f124caa,The Popup Season Two,4.75,0
52,284f124caa,"Dai Card: Transact instantly, cheaply, and securely in Dai",4.75,0
53,2a0e9db3db,CrypCade Entertainment Systems,17.729762963375002,0
54,6160a73e3a,GoodGhosting - a DeFi savings game,1900.0,0
55,ac6b49ce5e,GoodGhosting - a DeFi savings game,997.5,0
56,942e4673c7,Bankless,0.95,0
57,942e4673c7,Cryptotesters - Onboard people to crypto,0.95,0
58,942e4673c7,DeFi Dad DeFi Tutorials on YouTube and Twitter,0.95,0
59,942e4673c7,The Defiant,0.95,0
60,942e4673c7,DeFi Pulse Registry,0.95,0
61,942e4673c7,Rotki - The portfolio tracker and accounting tool that protects your privacy,0.95,0
62,eae816cca5,Rotki - The portfolio tracker and accounting tool that protects your privacy,4.75,0
63,eae816cca5,TrueBlocks,4.75,0
64,0918e84c53,Bankless,358.75796128275,0
65,b2d1da7345,Mol LeArt,2375.0,0
66,a8c015b075,BrightID 🔆 Universal Proof of Uniqueness,47.5,0
67,0918e84c53,Rotki - The portfolio tracker and accounting tool that protects your privacy,179.378980641375,0
68,b0eb2d61ce,Tornado.cash,5.04904625510565,0
